pokemon_ability_id,short_effect,language,effect
8,Erhöht den evasion um 25% während eines Sandsturms. Kein Schaden durch Sandstürme.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Während eines Sandsturms hat ein Pokémon mit dieser Fähigkeit einen um 25% erhöhten evasion und es nimmt keinen Schaden durch Sandstürme. Der Bonus zählt nicht als Statuswerte Änderung. Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen im Sandsturm nur halb so viele Pokémon auf."
8,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","During a sandstorm, this Pokémon has 1.25× its evasion, and it does not take sandstorm damage regardless of type. The evasion bonus does not count as a stat modifier. Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm."
9,30% Chance das angreifende Pokémon bei Kontakt zu paralysieren.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke mit Kontakt getroffen wird, besteht eine 30% Chance, dass der Angreifer paralysiert wird. Pokémon die immun gegen electric Attacken sind können trotzdem von dieser Fähigkeit paralysiert werden. Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, besteht eine 50% Chance einem electric Pokémon zu begegnen, falls es welche gibt."
9,Has a 30% chance of paralyzing attacking Pokémon on contact.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed. Pokémon that are immune to electric-type moves can still be paralyzed by this ability. Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an electric Pokémon, if applicable."
10,Absorbiert electric Attacken und heilt 1/4 der max hp.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit von einer electric Attacke getroffen wird, wird es um 1/4 seiner maximalen hp geheilt. Jeder andere Effekt der Attacke wird ignoriert. Die Fähigkeit wirkt nicht, wenn das Pokémon vom Typ ground ist. electric Attacken ignorieren den substitute dieses Pokémons. Der Effekt gilt auch für Attacken die keinen Schaden verursachen, wie z.B. thunder wave."
10,"Absorbs electric moves, healing for 1/4 max HP.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Whenever an electric-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it. This ability will not take effect if this Pokémon is ground-type and thus immune to Electric moves. Electric moves will ignore this Pokémon's substitute. This effect includes non-damaging moves, i.e. thunder wave."
11,Absorbiert water Attacken und heilt 1/4 der maximalen hp.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit von einer water Attacke getroffen wird, wird es um 1/4 seiner maximalen hp geheilt. Jeder andere Effekt der Attacke wird ignoriert. water Attacken ignorieren den substitute dieses Pokémons."
11,"Absorbs water moves, healing for 1/4 max HP.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Whenever a water-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it. Water moves will ignore this Pokémon's substitute."
12,Verhindert infatuation und schützt gegen captivate.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Dieses Pokémon kann sich nicht verlieben und ist immun gegen captivate. Wenn ein Pokémon verliebt ist und diese Fähigkeit erhält, wird es von der infatuation geheilt."
12,Prevents infatuation and protects against captivate.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon cannot be infatuated and is immune to captivate. If a Pokémon is infatuated and acquires this ability, its infatuation is cleared."
13,Entfernt alle Wettereffekte aber ändert nicht das weather selbst.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Während ein Pokémon mit dieser Fähigkeit im Kampf ist, kann das weather zwar geändert werden, hat aber keinen Effekt. Diese Fähigkeit ist identisch mit air lock."
13,"Negates all effects of weather, but does not prevent the weather itself.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","While this Pokémon is in battle, weather can still be in play, but will not have any of its effects. This ability functions identically to air lock."
14,Erhöht die accuracy von Attacken um 30%.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Die Attacken eines Pokémon mit dieser Fähigkeit haben eine um 30% erhöhte accuracy. Diese Fähigkeit hat keinen Einfluss auf K.O.-Attacken (fissure, guillotine, horn drill und sheer cold). Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, erhöht sich die Chance, dass ein wildes Pokémon ein Item trägt von 50%, 5% oder 1% auf 60%, 20% oder 5%, respektive."
14,Increases moves' accuracy to 1.3×.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon's moves have 1.3× their accuracy. This ability has no effect on the one-hit KO moves (fissure, guillotine, horn drill, and sheer cold). Overworld: If the first Pokémon in the party has this ability, the chance of a wild Pokémon holding a particular item is raised from 50%, 5%, or 1% to 60%, 20%, or 5%, respectively."
15,Verhindert sleep.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Ein Pokémon mit dieser Fähigkeit kann nicht einschlafen. rest schlägt fehl. Wenn ein Pokémon schläft und diese Fähigkeit erhält, wacht es sofort auf. Das bezieht das Wiedererlangen dieser Fähigkeit nach dem Kampf mit ein. Diese Fähigkeit ist identisch mit vital spirit."
15,Prevents sleep.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon cannot be asleep. This causes rest to fail altogether. If a Pokémon is asleep and acquires this ability, it will immediately wake up; this includes when regaining a lost ability upon leaving battle. This ability functions identically to vital spirit in battle."
16,Ändert den Typ des Pokémons in den der Attacke von der es getroffen wird.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke getroffen wird die Schaden verursacht, ändert sich der Typ des Pokémons in den der Attacke. Wenn das Pokémon 2 Typen hat, werden beide überschrieben. Das Pokémon muss direkten Schaden erleiden, Attacken die vom substitute geblockt werden, lösen den Effekt nicht aus, ebenso wie Attacken mit indirektem Schaden wie spikes. Bei Attacken mit mehreren Treffern löst nur der Letzte den Effekt aus. Diese Fähigkeit hat keinen Einfluss auf shadow Attacken in Pokémon Colosseum und XD: Der dunkle Sturm."
16,Changes type to match when hit by a damaging move.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Whenever this Pokémon takes damage from a move, the Pokémon's type changes to match the move. If the Pokémon has two types, both are overridden. The Pokémon must directly take damage; for example, moves blocked by a substitute will not trigger this ability, nor will moves that deal damage indirectly, such as spikes. This ability takes effect on only the last hit of a multiple-hit attack. In Pokémon Colosseum and XD: Gale of Darkness, this ability does not take effect on Shadow-type moves."
17,Verhindert poison.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Ein Pokémon mit dieser Fähigkeit kann nicht vergiftet werden. Das schließt schwere poison mit ein. Wenn ein vergiftetes Pokémon diese Fähigkeit erhält, wird es von der poison geheilt. Das bezieht das Wiedererlangen dieser Fähigkeit nach dem Kampf mit ein."
17,Prevents poison.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon cannot be poisoned. This includes bad poison. If a Pokémon is poisoned and acquires this ability, its poison is healed; this includes when regaining a lost ability upon leaving battle."
18,"Schützt vor fire Attacken. Sobald eine fire Attacke blockiert wurde, erhöht sich der Schaden der eigenen fire Attacken um 50%.","{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Ein Pokémon mit dieser Fähigkeit ist immun gegen fire Attacken. Sobald es von einer fire Attacke getroffen wurde, erhöht sich der Schaden der eigenen fire Attacken um 50% bis es den Kampf verlässt. Die Fähigkeit hat keinen Effekt, wenn das Pokémon eingefroren ist. Der Bonus bleibt erhalten wenn das Pokémon eingefroren ist und wieder auftaut oder wenn es die Fähigkeit wechselt bzw. diese deaktiviert wird. fire Attacken ignorieren den substitute. Der Effekt wirkt auch bei fire Attacken die keinen Schaden verursachen, wie z.B. will o wisp."
18,"Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon is immune to fire-type moves. Once this Pokémon has been hit by a Fire move, its own Fire moves will inflict 1.5× as much damage until it leaves battle. This ability has no effect while the Pokémon is frozen. The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled. Fire moves will ignore this Pokémon's substitute. This ability takes effect even on non-damaging moves, i.e. will o wisp."
19,Schützt vor Zusatzeffekten von Attacken.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Ein Pokémon mit dieser Fähigkeit ist immun gegen Zusatzeffekt von Attacken. Ein Zusatzeffekt ist die Chance einer Attacke, als ""Effektchance"" bezeichnet, eine status ailment oder eine stat modifier hervorzurufen oder das Ziel zurückschrecken zu lassen, zusätzlich zum Haupteffekt einer Attacke. Zum Beispiel ist die paralysis die thunder shock verursachen kann ein Zusatzeffekt, im Gegensatz zu thunder wave, genauso wie das Entfernen des Items durch knock off und die erhöhte kritische Trefferchance durch air cutter."
19,Protects against incoming moves' extra effects.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon is immune to the extra effects of moves used against it. An extra effect is a move's chance, listed as an ""effect chance"", to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate."
20,Verhindert confusion.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Ein Pokémon mit dieser Fähigkeit kann nicht verwirrt werden. Wenn ein Pokémon verwirrt ist und diese Fähigkeit erhält, wird es von der confusion geheilt."
20,Prevents confusion.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon cannot be confused. If a Pokémon is confused and acquires this ability, its confusion will immediately be healed."
21,Verhindert den Austausch von Pokémon durch Attacken.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Ein Pokémon mit dieser Fähigkeit kann nicht mit Attacken wie whirlwind ausgetauscht werden. dragon tail und circle throw verursachen trotzdem Schaden. Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, erhöht sich die Erfolgsrate beim Angeln."
21,Prevents being forced out of battle by other Pokémon's moves.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon cannot be forced out of battle by moves such as whirlwind. dragon tail and circle throw still inflict damage against this Pokémon. Overworld: If the lead Pokémon has this ability, the success rate while fishing is increased."
22,Senkt den attack des Gegners um 1 Stufe beim Betreten des Kampfes.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt, wird der attack des Gegners um 1 Stufe gesenkt. Im Mehrfachkämpfen werden alle Gegner beeinflusst. Diese Fähigkeit löst auch aus, wenn sie im Kampf erlangt wurde, aber nicht, wenn sie verloren und zurückerlangt wurde. Die Fähigkeit hat keinen Einfluss auf Gegner mit einem substitute. Außerhalb vom Kampf: Wenn das erste Pokémon im Team diese Fähigkeit hat, dann hat jede Begegnung mit einem Pokémon das 5 oder mehr Level niedriger ist, eine Chance von 50% übersprungen zu werden."
22,Lowers opponents' Attack one stage upon entering battle.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","When this Pokémon enters battle, the opponent's Attack is lowered by one stage. In a double battle, both opponents are affected. This ability also takes effect when acquired during a battle, but will not take effect again if lost and reobtained without leaving battle. This ability has no effect on an opponent that has a substitute. Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped."
23,"Verhindert, dass der Gegner flieht oder ausgetauscht wird.","{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Während ein Pokémon mit dieser Fähigkeit im Kampf ist, kann der Gegner nicht fliehen oder ausgetauscht werden. Andere Pokémon mit derselben Fähigkeit sind nicht betroffen. Pokémon mit run away können trotzdem fliehen. Pokémon können mit bestimmten Items oder Attacken ausgetauscht werden."
23,Prevents opponents from fleeing or switching out.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","While this Pokémon is in battle, opposing Pokémon cannot flee or switch out. Other Pokémon with this ability are unaffected. Pokémon with run away can still flee. Pokémon can still switch out with the use of a move or item."
24,Angreifende Pokémon erhalten 1/8 ihrer maximalen hp Schaden bei Kontakt.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn eine gegnerische Attacke Kontakt mit einem Pokémon mit dieser Fähigkeit hat, erleidet der Angreifer 1/8 seiner maximalen hp Schaden. Diese Fähigkeit ist identisch mit iron barbs."
24,Damages attacking Pokémon for 1/8 their max HP on contact.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum HP in damage. This ability functions identically to iron barbs."
25,Schützt gegen Schaden verursachende Attacken die nicht sehr effektiv sind.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Ein Pokémon mit dieser Fähigkeit ist immun gegen alle Schaden verursachenden Attacken die nicht sehr effektiv sind. Attacken die festen Schaden verursachen, wie night shade oder seismic toss werden mitgezählt. Schaden der nicht direkt durch die Attacke verursacht wird, wie der vom weather, einer status ailment oder spikes wird nicht verhindert. Diese Fähigkeit kann nicht mit role play kopiert oder mit skill swap getauscht werden, kann aber mit trace kopiert, mit gastro acid deaktiviert oder mit worry seed geändert werden. Das Pokémon kann seine Fähigkeit trotzdem mit role play selbst tauschen. Wenn das Pokémon einen substitute hat, werden Attacken zuerst durch die Fähigkeit verhindert, erst Attacken die trotzdem treffen würden, würden durch den substitute verhindert."
25,Protects against damaging moves that are not super effective.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon is immune to damaging moves that are not super effective against it. Moves that inflict fixed damage, such as night shade or seismic toss, are considered super effective if their types are. Damage not directly dealt by moves, such as damage from weather, a status ailment, or spikes, is not prevented. This ability cannot be copied with role play or traded away with skill swap, but it can be copied with trace, disabled with gastro acid, or changed with worry seed. This Pokémon can still use Role Play itself to lose this ability, but not Skill Swap. If this Pokémon has a substitute, this ability will block moves as usual and any moves not blocked will react to the Substitute as usual."
26,Verhindert ground Attacken,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Ein Pokémon mit dieser Fähigkeit ist immun gegen ground Attacken, spikes, toxic spikes und arena trap. Diese Fähigkeit wird mit gravity oder ingrain deaktiviert oder während eine iron ball getragen wird. roost deaktiviert diese Fähigkeit nicht."
26,Evades ground moves.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon is immune to ground-type moves, spikes, toxic spikes, and arena trap. This ability is disabled during gravity or ingrain, or while holding an iron ball. This ability is not disabled during roost."
27,"Hat eine 30% Chance bei Kontakt entweder paralysis, poison oder sleep auszulösen.","{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke getroffen wird, die Kontakt herstellt, besteht eine 30% Chance, dass der Angreifer paralysiert oder vergiftet wird oder einschläft. Dabei wird nicht berücksichtigt ob der Angreifer immun gegen eine der Statusänderungen ist, es besteht nur eine geringere Chance."
27,"Has a 30% chance of inflcting either paralysis, poison, or sleep on attacking Pokémon on contact.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed, poisoned, or put to sleep, chosen at random. Nothing is done to compensate if the move's user is immune to one of these ailments; there is simply a lower chance that the move's user will be affected."
28,"Kopiert burn, paralysis und poison auf den Verursacher.","{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit verbrannt, paralysiert oder vergiftet wird, erhält das verantwortliche Pokémon die gleiche status ailment. Diese Fähigkeit gibt schwere poison als schwere poison zurück. Die Fähigkeit funktioniert nicht bei Statusänderungen die nicht direkt von einem anderen Pokémon erhalten wurden, so wie poison von toxic spikes oder die burn durch flame orb. Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, haben wilde Pokémon eine Chance von 50% dasselbe Wesen wie das des Pokémons zu haben. Das gilt nicht für Pokémon die außerhalb von Kämpfen erhalten werden oder sich bewegende Legendäre Pokémon."
28,"Copies burns, paralysis, and poison received onto the Pokémon that inflicted them.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Whenever this Pokémon is burned, paralyzed, or poisoned, the Pokémon who gave this Pokémon that ailment is also given the ailment. This ability passes back bad poison when this Pokémon is badly poisoned. This ability cannot pass on a status ailment that the Pokémon did not directly receive from another Pokémon, such as the poison from toxic spikes or the burn from a flame orb. Overworld: If the lead Pokémon has this ability, wild Pokémon have a 50% chance of having the lead Pokémon's nature, and a 50% chance of being given a random nature as usual, including the lead Pokémon's nature. This does not work on Pokémon received outside of battle or roaming legendaries."
29,Verhindert negative stat modifier von anderen Pokémon.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Pokémon mit dieser Fähigkeit können keine negativen Statuswerte Änderungen von anderen Pokémon zugefügt werden. Diese Fähigkeit verhindert keine stat modifier die nicht direkt verursacht wurden, wie die verminderte speed durch paralysis oder selbstverursachte negative Statuswerteänderungen wie durch overheat. Dem Pokémon können trotzdem negative Statuswerte mit guard swap, heart swap oder power swap übertragen werden. Diese Fähigkeit ist identisch mit white smoke im Kampf."
29,Prevents stats from being lowered by other Pokémon.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon cannot have its stats lowered by other Pokémon. This ability does not prevent any stat losses other than stat modifiers, such as the Speed cut from paralysis. This Pokémon can still be passed negative stat modifiers through guard swap, heart swap, or power swap. This ability functions identically to white smoke in battle."
30,Heilt jede major status ailment beim Auswechseln,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit ausgewechselt wird, wird es von einer etwaigen major status ailment geheilt. Wenn diese Fähigkeit während des Kampfes erlangt wird, wird das Pokémon beim Auswechseln geheilt, bevor es die Fähigkeit wieder verliert."
30,Cures any major status ailment upon switching out.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon is cured of any major status ailment when it is switched out for another Pokémon. If this ability is acquired during battle, the Pokémon is cured upon leaving battle before losing the temporary ability."
31,Leitet electric Attacken mit nur einem Ziel auf dieses Pokémon um. Absorbiert electric Attacken und erhöht dabei den special attack um 1 Stufe.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn sich ein Pokémon mit dieser Fähigkeit im Kampf befindet, werden alle electric Attacken die nur 1 Ziel haben auf dieses Pokémon umgeleitet, sofern es ein mögliches Ziel ist. Wird es von electric Attacken getroffen, erhöht sich sein special attack um 1 Stufe, jeder andere Effekt der Attacke wird ignoriert. Wenn das eigentliche Ziel der Attacke ebenfalls diese Fähigkeit besitzt, wird sie nicht umgeleitet. Gibt es mehrere Pokémon mit dieser Fähigkeit, wird die Attacke zu dem mit der höchsten speed umgeleitet, oder, falls alle die gleiche haben, zu einem zufälligen Pokémon. follow me wirkt vor dieser Fähigkeit. Wenn das Pokémon mit dieser Fähigkeit vom Typ ground ist, verhindert seine electric Immunität das Ansteigen des Spezialangriffs."
31,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","All other Pokémon's single-target electric-type moves are redirected to this Pokémon if it is an eligible target. Other Pokémon's Electric moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it. If the move's intended target also has this ability, the move is not redirected. When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon. follow me takes precedence over this ability. If the Pokémon is a ground-type and thus immune to Electric moves, its immunity prevents the Special Attack boost."
32,Verdoppelt die Chance das ein Zusatzeffekt beim Einsatz einer Attacke auftritt,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Attacken von Pokémon mit dieser Fähigkeit treten doppelt so häufig auf wie normal. Ein Zusatzeffekt ist die Chance einer Attacke, als ""Effectchance"" bezeichnet, eine status ailment oder eine stat modifier hervorzurufen oder das Ziel zurückschrecken zu lassen, zusätzlich zum Haupteffekt einer Attacke. Zum Beispiel ist die paralysis die thunder shock verursachen kann ein Zusatzeffekt, im Gegensatz zu thunder wave, genauso wie das Entfernen des Items durch knock off und das Erhöhen der kritischen Trefferchance durch air cutter. secret power ist davon unberührt."
32,Doubles the chance of moves' extra effects occurring.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon's moves have twice their usual effect chance. An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, flamethrower's chance of burning the target is doubled, but protect's chance of success and air cutter's increased critical hit rate are unaffected. secret power is unaffected."
33,Verdoppelt die speed während es regnet.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Die speed eines Pokémon mit dieser Fähigkeit ist doppelt so hoch wie normal, solange es regnet. Dieser Bonus zählt nicht als stat modifier."
33,Doubles Speed during rain.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",This Pokémon's Speed is doubled during rain. This bonus does not count as a stat modifier.
34,Verdoppelt die speed während starkem Sonnenlicht.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}",Während strong sunlight ist die speed eines Pokémon mit dieser Fähigkeit doppelt so hoch wie normal. Dieser Bonus zählt nicht als stat modifier.
34,Doubles Speed during strong sunlight.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",This Pokémon's Speed is doubled during strong sunlight. This bonus does not count as a stat modifier.
35,"Verdoppelt die Wahrscheinlichkeit, einem wilden Pokémon zu begegnen.","{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, ist die Wahrscheinlichkeit einem wilden Pokémon zu begegnen doppelt so hoch wie normal. Diese Fähigkeit hat im Kampf keinen Effekt."
35,Doubles the wild encounter rate.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled. This ability has no effect in battle."
36,Kopiert die Fähigkeit des Gegners beim Betreten des Kampfes.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt, kopiert es die Fähigkeit eines zufällig ausgewählten Gegners. flower gift, forecast, illusion, imposter, multitype, trace, wonder guard und zen mode können nicht kopiert werden."
36,Copies an opponent's ability upon entering battle.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","When this Pokémon enters battle, it copies a random opponent's ability. This ability cannot copy flower gift, forecast, illusion, imposter, multitype, trace, wonder guard, or zen mode."
